timestamp,time_delta,velocity,displacement
0.0,0.0,0.07529550902468028,-0.019458438688208797
0.1,0.1,0.10024333405504884,-0.026287580023166
0.2,0.1,0.127151707796853,-0.028811507198203294
0.30000000000000004,0.1,0.16248262270136116,-0.02224204178108561
0.4,0.1,0.19355062478130142,-0.010030755355772436
0.5,0.1,0.22043875016875972,-0.00459758422717264
0.6000000000000001,0.1,0.2441057583015528,0.0022817875920785333
0.7000000000000001,0.1,0.19576273290702756,0.007941512988708075
0.8,0.1,0.23270778702824987,0.008014538309265866
0.9,0.1,0.253581616214008,0.01463774314639796
1.0,0.1,0.2289818313401199,0.011279007869065955
1.1,0.1,0.21802699539573814,0.008440181833920837
1.2000000000000002,0.1,0.23346681069823713,0.0086698069858498
1.3,0.1,0.19147499230914755,0.011504551164380523
1.4000000000000001,0.1,0.2168275329972646,-0.003167181702551847
1.5,0.1,0.27912186160179886,-0.006134701491652151
1.6,0.1,0.2296043561246492,0.0002993656946549178
1.7000000000000002,0.1,0.15951525505681527,-0.004130387802583438
1.8,0.1,0.14934503766744725,-0.008654573762605531
1.9000000000000001,0.1,0.15463371614454408,-0.008404916004188056
2.0,0.1,0.15056295587958837,-0.0048556097919000086
2.1,0.1,0.14497665606073334,-0.002754569581050625
2.2,0.1,0.1416938337976379,-0.0012088223605144768
2.3000000000000003,0.1,0.1378536210283539,0.0031350019000990245
2.4000000000000004,0.1,0.14196635984260744,0.006708154046469817
2.5,0.1,0.15529562479292278,0.006182472916204292
2.6,0.1,0.15825595667180853,0.001249354765966032
2.7,0.1,0.1337122424323392,-0.007042655689532655
2.8000000000000003,0.1,0.12307036654013812,-0.00755446943513968
2.9000000000000004,0.1,0.1288681467942767,-0.007188903879391811
3.0,0.1,0.14452404854001802,-0.008281035094557267
3.1,0.1,0.14211449639523058,-0.010656572709156334
3.2,0.1,0.13281098494290966,-0.011373735553593915
3.3000000000000003,0.1,0.14954244415811868,-0.01035884830045243
3.4000000000000004,0.1,0.18146816289306814,-0.009635257278180735
3.5,0.1,0.17063792871459105,-0.013190503721168666
3.6,0.1,0.1375990059282263,-0.013646981088831786
3.7,0.1,0.12712541568385263,-0.009078584160716666
3.8000000000000003,0.1,0.13355537862727124,-0.0009528148924698547
3.9000000000000004,0.1,0.16063248600985666,0.0007387613904063891
4.0,0.1,0.1697395287728382,0.0029472961995412814
4.1000000000000005,0.1,0.16162002088221722,0.01038057894773689
4.2,0.1,0.16827842040067956,0.016430801227333633
4.3,0.1,0.1790741754355322,0.019501853966993207
4.4,0.1,0.15334425005563754,0.027039578521733443
4.5,0.1,0.15158808067455046,0.03443814677346699
4.6000000000000005,0.1,0.1653204249725391,0.03755424563631199
4.7,0.1,0.19394510628260456,0.03233050225004343
4.800000000000001,0.1,0.1717881279411729,0.024673848272093995
4.9,0.1,0.13484049746275212,0.018017839224986832
5.0,0.1,0.14094884029669913,0.014681852481969874
